epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.8288,0.42907,0.94222,1,0.18257,0.000552663,0.000552663,0.000552663
2,62.5928,0.33512,0.87111,1,1.27069,0.00109736,0.00109736,0.00109736
3,72.0569,0.36109,0.97333,1,0.09883,0.00163105,0.00163105,0.00163105
4,81.3896,0.43803,0.89778,1,0.35548,0.00161749,0.00161749,0.00161749
5,90.6907,0.46034,0.94667,1,0.11377,0.00160099,0.00160099,0.00160099
6,110.643,0.47374,0.92444,1,0.1692,0.00158448,0.00158448,0.00158448
7,126.209,0.3067,0.90667,1,0.13957,0.00156798,0.00156798,0.00156798
8,139.113,0.31486,0.96444,1,0.08147,0.00155148,0.00155148,0.00155148
9,149.719,0.27421,0.97778,1,0.06298,0.00153497,0.00153497,0.00153497
10,159.997,0.25573,0.95556,1,0.11847,0.00151847,0.00151847,0.00151847
11,170.828,0.24961,0.96444,1,0.08089,0.00150197,0.00150197,0.00150197
12,182.265,0.22668,0.96444,1,0.12079,0.00148546,0.00148546,0.00148546
13,193.009,0.24758,0.96889,1,0.09268,0.00146896,0.00146896,0.00146896
14,204.764,0.23956,0.96889,1,0.11609,0.00145246,0.00145246,0.00145246
15,216.588,0.21212,0.97333,1,0.08333,0.00143595,0.00143595,0.00143595
16,228.538,0.20018,0.99111,1,0.05895,0.00141945,0.00141945,0.00141945
17,240.351,0.2231,0.97778,1,0.07893,0.00140295,0.00140295,0.00140295
18,251.719,0.21816,0.97778,1,0.06003,0.00138644,0.00138644,0.00138644
19,260.97,0.20516,0.98667,1,0.05794,0.00136994,0.00136994,0.00136994
20,271.539,0.1924,0.97333,1,0.10846,0.00135344,0.00135344,0.00135344
21,315.389,0.21259,0.98222,1,0.06309,0.00133693,0.00133693,0.00133693
22,375.381,0.18319,0.97333,1,0.06259,0.00132043,0.00132043,0.00132043
23,404.573,0.18628,0.94222,1,0.08919,0.00130393,0.00130393,0.00130393
24,418.759,0.19248,0.97778,1,0.05931,0.00128742,0.00128742,0.00128742
25,432.41,0.21924,0.96,1,0.09405,0.00127092,0.00127092,0.00127092
26,444.923,0.16546,0.95111,1,0.08108,0.00125442,0.00125442,0.00125442
27,457.371,0.21928,0.96,1,0.09724,0.00123791,0.00123791,0.00123791
28,469.356,0.1758,0.96,1,0.08645,0.00122141,0.00122141,0.00122141
29,481.459,0.156,0.97333,1,0.06059,0.00120491,0.00120491,0.00120491
30,493.321,0.17413,0.97333,1,0.06848,0.0011884,0.0011884,0.0011884
31,505.905,0.16474,0.97333,1,0.05014,0.0011719,0.0011719,0.0011719
32,518.838,0.14377,0.98667,1,0.04007,0.0011554,0.0011554,0.0011554
